iteration,wall_time_s,n_trajectories,pareto_front_size,best_obj0,best_obj1,mean_episode_return_obj0,mean_episode_return_obj1,target_obj0,target_obj1,bc_loss_mean,bc_loss_last
1,0.397,4,1,0.9142927527427673,-3.0495681762695312,-0.2092353105545044,-3.081416606903076,1.257302165031433,-1.321048617362976,6.55553900718689,6.463585376739502
2,0.683,4,1,0.9142927527427673,-3.0495681762695312,-0.2092353105545044,-3.081416606903076,-4.235022068023682,2.9540207386016846,6.520206184387207,6.447912216186523
3,0.973,8,4,0.9142927527427673,-2.2098758220672607,-0.3081260919570923,-2.662935495376587,-4.903525352478027,-10.302210807800293,6.068236122131347,6.125663757324219
4,1.258,8,4,0.9142927527427673,-2.2098758220672607,-0.3081260919570923,-2.662935495376587,-1.1863101720809937,-2.1754977703094482,6.088271980285644,6.217292785644531
5,1.549,12,4,0.9142927527427673,-2.113262176513672,-0.2945559322834015,-2.492382287979126,1.425041675567627,-2.9795644283294678,5.865477170944214,5.91408634185791
6,1.833,12,4,0.9142927527427673,-2.113262176513672,-0.2945559322834015,-2.492382287979126,1.0151320695877075,-2.9402811527252197,5.8654343700408935,5.91936731338501
7,2.126,16,5,0.9142927527427673,-1.9629758596420288,-0.43079474568367004,-2.366211175918579,-0.5913091897964478,-1.9645121097564697,5.697287425994873,5.6236348152160645
8,2.411,16,5,0.9142927527427673,-1.9629758596420288,-0.43079474568367004,-2.366211175918579,-0.5409405827522278,-1.9561114311218262,5.712997541427613,5.700660228729248
9,2.705,20,5,0.9142927527427673,-1.912459135055542,-0.5589280724525452,-2.2771201133728027,-0.5147805213928223,-1.943578839302063,5.595896310806275,5.6000261306762695
10,2.99,20,5,0.9142927527427673,-1.912459135055542,-0.5589280724525452,-2.2771201133728027,0.28410741686820984,-2.23411226272583,5.597415962219238,5.424862861633301
11,3.287,24,6,0.9142927527427673,-1.864776611328125,-0.6880655884742737,-2.2116682529449463,0.11839914321899414,-1.9638011455535889,5.480912971496582,5.510169982910156
12,3.575,24,6,0.9142927527427673,-1.864776611328125,-0.6880655884742737,-2.2116682529449463,1.0064408779144287,-2.959709405899048,5.500366373062134,5.6488471031188965
13,3.868,28,7,0.9142927527427673,-1.7996271848678589,-0.696763813495636,-2.161548376083374,1.1748087406158447,-2.847628593444824,5.429805564880371,5.489408493041992
14,4.158,28,7,0.9142927527427673,-1.7996271848678589,-0.696763813495636,-2.161548376083374,0.37304437160491943,-1.7826344966888428,5.440763673782349,5.441887855529785
15,4.453,32,3,0.9142927527427673,-1.714173674583435,-0.6837027072906494,-2.1093335151672363,-1.2747631072998047,-1.5748132467269897,5.3684339427948,5.421767234802246
16,4.74,32,3,0.9142927527427673,-1.714173674583435,-0.6837027072906494,-2.1093335151672363,0.015448266640305519,-1.6793391704559326,5.384226150512696,5.456971645355225
17,5.035,36,3,0.9142927527427673,-1.714173674583435,-0.7147817611694336,-2.0715439319610596,1.035053014755249,-2.9262166023254395,5.300019216537476,5.434638023376465
18,5.322,36,3,0.9142927527427673,-1.714173674583435,-0.7147817611694336,-2.0715439319610596,1.0498319864273071,-2.9847145080566406,5.308870058059693,5.259766101837158
19,5.618,40,3,0.9142927527427673,-1.714173674583435,-0.7249849438667297,-2.039764404296875,0.24246902763843536,-1.671879768371582,5.262748298645019,5.148745059967041
